index,name,min_age,max_age,region,edu,edu_limit,job
156,청주청년잡고(JOB GO) 청년일자리 지원사업,19,39,충청북도,제한없음,제한없음,재직자
157,제주시 청장년일자리지원 프로그램,19,100,제주도,제한없음,제한없음,제한없음
158,2021년 하반기 공공근로사업,18,34,부산광역시,제한없음,제한없음,미취업자
159,부산시 지역주도형 청년일자리사업(사회적경제 활성화),18,39,부산광역시,제한없음,제한없음,제한없음
160,항공분야취업지원,0,100,전국,제한없음,제한없음,미취업자
161,해외인턴사업(글로벌 현장학습 프로그램),0,100,전국,대학생,제한없음,미취업자
161,해외인턴사업(글로벌 현장학습 프로그램),0,100,전국,대학 졸업예정,제한없음,미취업자
161,해외인턴사업(글로벌 현장학습 프로그램),0,100,전국,대졸,제한없음,미취업자
162,부산지역 항공인턴십 지원 사업,18,34,부산광역시,대학 재학,제한없음,미취업자
163,세종시시 사회복지 청년일자리 지원사업,18,39,세종시,제한없음,제한없음,미취업자
164,청년뜨락5959 운영,19,39,충청북도,제한없음,제한없음,제한없음
165,한상 청년채용 인턴십,0,34,전국,대학 졸업예정,제한없음,제한없음
165,한상 청년채용 인턴십,0,34,전국,대졸,제한없음,제한없음
166,문화콘텐츠 전문인력 양성 및 취업지원,18,39,인천광역시,제한없음,제한없음,미취업자
167,지역기업-청년 희망이음 프로젝트,15,34,전국,대학 재학,제한없음,미취업자
167,지역기업-청년 희망이음 프로젝트,15,34,전국,대학원생,제한없음,미취업자
168,청년D프로젝트,18,34,광주광역시,제한없음,제한없음,제한없음
169,전문크리에이터 양성 프로젝트,19,39,서울특별시,제한없음,제한없음,미취업자
170,부산청년귀환 및 경력직 일자리 매칭 사업,18,39,부산광역시,제한없음,제한없음,미취업자
171,여성새로일하기센터,0,100,전국,제한없음,제한없음,제한없음
172,청년 역량개발 교육,18,34,대전광역시,제한없음,제한없음,제한없음
173,"경남청년 장인(匠人, Master) 프로젝트",18,39,경상남도,제한없음,제한없음,미취업자
174,자격증 취득수당 지원,19,39,강원도,제한없음,제한없음,제한없음
175,4차 산업 인재육성 직업훈련,0,34,경기도,제한없음,제한없음,제한없음
176,"월드프렌즈(World Friends Korea, WFK)  - 일반봉사단",19,99,전국,제한없음,제한없음,미취업자
177,청년공간 경기도,15,39,경기도,제한없음,제한없음,제한없음
178,지역기업 청년 희망이음 지원,15,39,경상북도,대학 재학,제한없음,미취업자
178,지역기업 청년 희망이음 지원,15,39,경상북도,대학 졸업예정,제한없음,미취업자
178,지역기업 청년 희망이음 지원,15,39,경상북도,대졸,제한없음,미취업자
178,지역기업 청년 희망이음 지원,15,39,경상북도,석·박사,제한없음,미취업자
179,청년up 클라우드,19,34,경기도,제한없음,제한없음,제한없음
180,충북청년 공공기관 한자리愛,15,39,충청북도,제한없음,제한없음,미취업자
181,목포시 청년일자리통합센터,0,100,전라남도,제한없음,제한없음,제한없음
182,뉴딜일자리,18,100,서울특별시,제한없음,제한없음,미취업자
183,청년고용 우수기업 근로환경개선 지원,15,39,인천광역시,제한없음,제한없음,제한없음
184,고졸청년-중소기업 디지털 Pre-허그 사업,18,29,대구광역시,고교 졸업예정,제한없음,미취업자
184,고졸청년-중소기업 디지털 Pre-허그 사업,18,29,대구광역시,고졸,제한없음,미취업자
185,청년 면접합격 응원세트,19,39,경기도,제한없음,제한없음,제한없음
186,일자리센터 취업프로그램 운영지원(AI 면접지원 패키지),18,39,경기도,제한없음,제한없음,미취업자
187,청년 두드림공간 운영,19,100,경기도,제한없음,제한없음,제한없음
188,국가우수장학금(이공계),0,100,전국,4년제 대학 재학,제한없음,제한없음
189,지역맞춤형일자리창출지원,0,100,광주광역시,제한없음,제한없음,제한없음
190,청년 중소기업 체험 사업,15,34,서울특별시,고교 재학,제한없음,제한없음
190,청년 중소기업 체험 사업,15,34,서울특별시,대학 재학,제한없음,제한없음
190,청년 중소기업 체험 사업,15,34,서울특별시,대학 졸업예정,제한없음,제한없음
190,청년 중소기업 체험 사업,15,34,서울특별시,대졸,제한없음,제한없음
191,포항형 내일채움공제 지원사업,18,34,경상북도,제한없음,제한없음,재직자
192,공공기관 청년고용의무제 강화,15,34,전국,제한없음,제한없음,미취업자
193,경남형 스마트 일자리 전문인력 양성,0,39,경상남도,제한없음,제한없음,미취업자
194,청년기능인력 취업지원사업,18,39,충청북도,제한없음,제한없음,미취업자
195,전주형 일자리지원센터 운영,0,100,전라북도,제한없음,제한없음,제한없음
196,국가기간ㆍ전략산업직종훈련,15,99,전국,고교 졸업예정,제한없음,제한없음
196,국가기간ㆍ전략산업직종훈련,15,99,전국,대학 졸업예정,제한없음,제한없음
197,부산시 직업능력개발 훈련사업,18,100,부산광역시,제한없음,제한없음,미취업자
198,청년두드림센터 운영,18,39,부산광역시,제한없음,제한없음,제한없음
199,KF 글로벌 챌린저(청년 해외진출 활성화),0,39,전국,대학원생,제한없음,제한없음
199,KF 글로벌 챌린저(청년 해외진출 활성화),0,39,전국,대졸,제한없음,제한없음
199,KF 글로벌 챌린저(청년 해외진출 활성화),0,39,전국,석·박사,제한없음,제한없음
200,군 장병 취업지원사업,18,99,전국,제한없음,제한없음,제한없음
201,청년캣취업(Cat cheer-up) 사관학교,18,39,경기도,제한없음,제한없음,미취업자
202,진주시일자리지원센터,0,100,경상남도,제한없음,제한없음,미취업자
203,지역중소기업 맞춤형 인력 양성 사업,0,34,충청남도,고졸,제한없음,미취업자
203,지역중소기업 맞춤형 인력 양성 사업,0,34,충청남도,대졸,제한없음,미취업자
204,(서울 강남구)중소기업 청년 인턴 운영,15,34,서울특별시,제한없음,제한없음,미취업자
205,관악구 일자리카페,15,39,서울특별시,제한없음,제한없음,제한없음
206,allA(청년진로역량강화)프로그램,15,34,전국,제한없음,제한없음,미취업자
207,제주 청년 갭이어(Gap year) 체험 사업,19,34,제주도,제한없음,제한없음,제한없음
208,지역별 서울청년센터 설치 운영,19,39,서울특별시,제한없음,제한없음,제한없음
209,대학일자리센터지원,0,100,경상북도,대학 재학,제한없음,미취업자
209,대학일자리센터지원,0,100,경상북도,대학 졸업예정,제한없음,미취업자
210,전북형 청년취업지원사업,18,39,전라북도,제한없음,제한없음,제한없음
211,청년일자리플랫폼 구축 운영,0,100,경상남도,제한없음,제한없음,제한없음
212,센텀 혁신 일자리 지원사업 (지역주도형 청년일자리 사업),18,39,부산광역시,제한없음,제한없음,제한없음
213,청년 면접정장 무료대여,19,34,경상남도,제한없음,제한없음,미취업자
214,2021년 공공근로 사업,18,39,부산광역시,제한없음,제한없음,미취업자
215,경력단절여성 취업지원프로그램,0,100,전국,제한없음,제한없음,미취업자
216,수성구 청년 해외취업 지원 사업,19,39,대구광역시,제한없음,제한없음,미취업자
217,공무원 시험 준비반 운영,0,100,강원도,제한없음,제한없음,제한없음
218,청년소모임활동지원사업,18,34,대전광역시,제한없음,제한없음,제한없음
219,청년 해외진출 멘토링,0,100,전국,제한없음,제한없음,제한없음
220,대학생 아르바이트 사업,0,29,경기도,대학 재학,제한없음,제한없음
221,한국형 온라인 공개강좌(K-MOOC),0,100,전국,제한없음,제한없음,제한없음
222,동구 청년 드림빌리지 조성사업,0,39,대구광역시,제한없음,제한없음,미취업자
223,"KOICA 해외사무소,재외공관 영프로페셔널",19,34,전국,고졸,제한없음,미취업자
224,인천청년공간 유유기지 운영,18,39,인천광역시,제한없음,제한없음,제한없음
225,취업능력향상(행복오름) 프로그램 II,0,100,전국,제한없음,제한없음,미취업자
226,중소기업탐방 프로그램,15,34,전국,제한없음,제한없음,미취업자
227,전북형 청년취업 지원사업,18,39,전라북도,제한없음,제한없음,미취업자
228,세종시시 스타트업 청년일자리 지원사업,18,39,세종시,제한없음,제한없음,미취업자
229,대학생 직무인턴,0,100,전라북도,대학생,제한없음,제한없음
229,대학생 직무인턴,0,100,전라북도,대학 졸업예정,제한없음,제한없음
229,대학생 직무인턴,0,100,전라북도,대졸,제한없음,제한없음
